Iteración,BEST,Fitness,BlosumScore,Interacción,NFE,TiempoEjec(seg)
0,11,5666.0,5666.0,0.0,15,0.7064
1,5,8576.006666666666,8576.0,0.006666666666666668,36,2.0696
2,4,8650.013333333334,8650.0,0.013333333333333336,57,3.4031
3,4,8650.04,8650.0,0.04000000000000001,78,4.7108
4,15,8711.026666666667,8711.0,0.026666666666666672,99,5.9654
5,3,8716.032041345534,8716.0,0.032041345533415894,120,7.2015
6,3,8711.08,8711.0,0.07999999999999996,141,8.4668
7,3,8711.186666666666,8711.0,0.18666666666666676,162,9.7435
8,1,8711.32,8711.0,0.31999999999999995,183,10.9848
9,1,8711.36,8711.0,0.35999999999991533,204,12.0339
10,0,8711.4,8711.0,0.39999999999999997,225,13.1062
11,4,8711.513333333334,8711.0,0.5133333333333334,246,14.1681
12,0,8711.72,8711.0,0.7199999999999998,267,15.0967
13,2,8728.083333733273,8728.0,0.08333373327359293,288,16.1111
14,13,8737.093314465352,8737.0,0.09331446535269766,309,17.2907
15,1,8811.1,8811.0,0.10000000000000002,330,18.4823
16,15,8811.106666666667,8811.0,0.10666666666666666,351,19.7131
17,13,8739.082692472804,8739.0,0.08269247280485707,372,20.9112
18,4,8739.23999249742,8739.0,0.2399924974195471,393,22.2265
19,15,8739.12664612235,8739.0,0.12664612234912823,414,23.3388
20,3,8728.4,8728.0,0.3999999999999122,435,24.5656
21,2,8741.139998774806,8741.0,0.13999877480714265,456,25.7736
22,4,8738.146384537338,8738.0,0.14638453733906062,477,27.1428
23,4,8738.152866347857,8738.0,0.15286634785593786,498,28.3756
24,2,8728.64,8728.0,0.6400000000000001,519,29.6153
25,1,8729.166666666666,8728.0,1.1666666666666667,540,30.7539
26,5,8771.173333330487,8771.0,0.1733333304877226,561,31.9248
27,4,8771.359999900706,8771.0,0.35999990070495697,582,33.283
28,3,8771.559996920167,8771.0,0.5599969201672106,603,34.4919
29,3,8771.773261687995,8771.0,0.7732616879955164,624,35.7629
